date,EPBR,EPRO,EPWHI,EPWHO,EBBR,EBRO,EBWHI,EBWHO,ET,PPBR,PPRO,PPWHI,PPWHO,PBBR,PBRO,PBWHI,PBWHO,PT
2015-01,302347.7,169615.0,3974442.0,547709.9,609342.9,3142759.8,8688128.3,1347127.5,583511887.0,182488.1,182363.5,4904086.0,529104.1,324566.7,6415022.1,6961470.2,1001926.9,326372743.2
2015-02,348746.3,171652.6,4018628.3,482495.9,454752.6,3095793.0,8259396.0,1402399.1,597830636.9,204796.4,197675.8,4953454.5,491872.0,242400.4,6042828.9,6661094.1,1037984.2,336737791.6
2015-03,338976.1,155147.6,3812208.1,472091.8,515368.7,2863009.2,7885832.6,1342068.0,595917568.5,208789.9,161554.6,4706806.4,504361.9,284253.5,5431406.5,6328668.2,976973.4,334625335.8
2015-04,330097.3,214286.1,3995354.7,447137.6,511693.9,2822346.5,7808022.7,1355740.8,589314119.9,190809.2,219138.0,5149355.0,465451.0,291649.4,5727437.1,6303079.7,997520.6,328538981.2
2015-05,318894.0,258198.7,4111755.4,469923.8,520075.4,2740250.6,7952870.0,1336703.1,598552960.4,191374.3,280398.0,5343593.7,521938.0,265045.9,5574329.7,6292196.5,990901.3,332839966.0
2015-06,301342.5,168659.8,4250891.3,459885.3,408137.6,2740533.5,7832513.0,1336834.5,593136941.7,183584.5,186769.2,5511962.0,502812.7,222825.9,5520605.8,6231864.0,982008.8,329119834.7
2015-07,345532.8,220111.5,4096177.1,458168.4,403980.5,2651820.4,7742205.0,1303833.5,571784533.8,211851.8,280845.7,5249241.4,525865.4,214465.1,5611369.2,6095895.1,1014729.3,315551001.9
2015-08,286616.8,187891.7,4195462.0,496394.6,417836.2,2583493.8,7889578.0,1240028.8,581616050.0,173976.5,254656.1,5587370.9,530713.1,240958.6,5292851.4,6261905.3,948074.5,324197585.2
2015-09,289358.5,261871.6,4060170.8,506807.4,456409.1,2804426.9,7580081.3,1110676.8,574600915.1,174434.4,302576.0,5297589.6,595489.6,250085.5,5982267.9,5980068.4,863154.6,320409570.2
2015-10,273757.1,210341.7,4022630.3,539231.3,373611.3,2313999.3,7706516.9,1098190.6,567049006.2,158873.4,266285.0,5203345.7,589596.9,210124.0,5316485.7,6108864.9,817252.2,317020661.0
2015-11,268211.2,276392.2,4157238.4,494074.8,450017.6,2627201.4,8264069.5,1243321.5,607026619.1,176856.3,320021.1,5409901.1,534166.2,266682.7,6395484.3,6447805.8,918324.1,335602875.0
2015-12,315012.5,207230.9,4136307.4,523372.9,423060.6,2770164.5,8145624.5,1355877.0,643539411.8,204518.5,242384.9,5385746.9,585394.4,237906.6,6891375.9,6391136.4,1035024.6,341686684.4
2015-13,265983.4,303856.1,4026606.6,474049.4,385042.8,2540435.7,8370550.8,1217328.5,723088928.7,168371.3,341653.8,5120127.5,518305.1,213640.9,5919545.6,6626788.9,921055.7,356145609.3
2016-01,263012.2,291121.6,4289242.7,611675.0,525290.8,2434332.4,8656730.7,1422472.7,601875247.9,188809.9,338663.9,5520195.7,654118.9,286874.9,7513400.7,6816079.5,1047307.0,345086695.0
2016-02,285335.3,229298.5,4179117.5,491521.3,447192.5,2562702.0,8194456.2,1278746.5,610743868.6,204680.7,278922.9,5411316.0,552238.5,237883.8,7346923.6,6503545.0,980914.2,344967360.0
